lemma,notes
εἶδον,saw/seeing
ὁράω,looking
εἶμι,going
θέω,running
φέρω,carrying
κεῖμαι,lying
ἧμαι,sitting
ἵστημι,standing
ἄγω,leading
αὔω,shouting
βίβημι,striding
εἶπον,saying
φωνέω,speaking
κίω,going
τίθημι,placing
ἁρπάζω,seizing
ἀείρω,lifting
τινάσσω,shaking
πίπτω,falling
ἔχω,holding
ἀίσσω,rushing
ἀλύσκω,escaping
ἀπαμείβομαι,answering
ἀναχάζω,retreating
παρίστημι,standing beside
ἐποίχομαι,approaching
ὀτρύνω,urging
κελεύω,commanding
ὁμοκλέω,shouting
ταρβέω,fearing
πείθω,trusting
μάρναμαι,fighting
χώομαι,being angry
ὄλλυμι,destroying
παραβαίνω,standing beside (chariot)
φεύγω,fleeing
δηιόω,slaying
τύπτω,striking
νοστέω,returning
καταθνήσκω,dying
ἐρύω,dragging
ἐπαίσσω,rushing at
ἀμύνω,defending
καταδύω,sinking/setting
χωρέω,withdrawing
ὁρμάω,rushing
φρονέω,thinking
μητιάω,devising
ἀπαυράω,taking away
χολόω,being angry
εἰμί,being
βλεμεαίνω,raging
μέμαα,being eager
σεύω,rushing/charging
ἐσσύμενος,rushing/eager (participial adj from σεύω)